Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
Ayoubi R Crawford M,21 May 2023,A revisit to the role of gender in moderating the effect of emotional intelligence on leadership effectiveness: A study from Egypt,https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-in-moderating-the-effect-of-emoti,"['https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi', 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford']"
Johnson E Ezeonyeka G,25 Mar 2023,Becoming Nigerian,https://pureportal.coventry.ac.uk/en/publications/becoming-nigerian,"['https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson', 'https://pureportal.coventry.ac.uk/en/persons/godswill-ezeonyeka']"
Dang Q Morini L,11 Mar 2023,Between sameness and difference: challenges for TNE,https://pureportal.coventry.ac.uk/en/publications/between-sameness-and-difference-challenges-for-tne,"['https://pureportal.coventry.ac.uk/en/persons/que-anh-dang', 'https://pureportal.coventry.ac.uk/en/persons/luca-morini']"
Karakus M,29 May 2023,Coming out of the shadows: Investing in English private tutoring at a transition point in Kazakhstan’s education system during the global pandemic,https://pureportal.coventry.ac.uk/en/publications/coming-out-of-the-shadows-investing-in-english-private-tutoring-a,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
Orsini-Jones M,1 May 2023,Foreword,https://pureportal.coventry.ac.uk/en/publications/foreword-2,['https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones']
Grant C A Tramontano C,2 Jan 2023,Getting the measure of remote e-working: a revision and further validation of the E-work life scale,https://pureportal.coventry.ac.uk/en/publications/getting-the-measure-of-remote-e-working-a-revision-and-further-va,"['https://pureportal.coventry.ac.uk/en/persons/christine-grant', 'https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano']"
Cawston J Angelov D,16 May 2023,Hacking the Museum: Mandela27 - A Democratic DIY Pop-Up Installation,https://pureportal.coventry.ac.uk/en/publications/hacking-the-museum-mandela27-a-democratic-diy-pop-up-installation,"['https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2', 'https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov']"
Lawson D Muhammad R R Aslam F Crawford M,15 Jun 2023,Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,"['https://pureportal.coventry.ac.uk/en/persons/duncan-lawson', 'https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad', 'https://pureportal.coventry.ac.uk/en/persons/farzana-aslam', 'https://pureportal.coventry.ac.uk/en/persons/megan-crawford']"
Cawston J,30 Oct 2023,"Interactive Media for Cultural Heritage book: ""From Headsets to Mindsets: A Taxonomy for Human-centred Extended Reality Experimentations for Cultural Heritage.""  ",https://pureportal.coventry.ac.uk/en/publications/interactive-media-for-cultural-heritage-book-from-headsets-to-min,['https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2']
Karakus M,3 Jun 2023,Measuring student well-being in adolescence: proposal of a five-factor integrative model based on PISA 2018 survey data,https://pureportal.coventry.ac.uk/en/publications/measuring-student-well-being-in-adolescence-proposal-of-a-five-fa,['https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus']
